trade_id,trade_date,settlement_date,status,amount,counterparty,instrument_type,currency
4780,03/01/2024,05/01/2024,Settled,234333.79,Counterparty_10,Stock,NGN
3424,03/01/2024,10/01/2024,Delayed,39899.08,Counterparty_20,Derivative,GBP
3185,03/01/2024,05/01/2024,Settled,515490.65,Counterparty_38,Derivative,USD
1994,03/01/2024,05/01/2024,Settled,136218.73,Counterparty_34,FX,USD
5444,03/01/2024,05/01/2024,Settled,953353.86,Counterparty_5,Stock,NGN
9710,03/01/2024,07/01/2024,Delayed,555354.92,Counterparty_24,FX,EUR
5918,03/01/2024,05/01/2024,Settled,666740.9,Counterparty_17,Bond,GBP
9440,03/01/2024,06/01/2024,Delayed,715521.62,Counterparty_42,Stock,EUR
4751,03/01/2024,05/01/2024,Settled,341903.21,Counterparty_10,FX,EUR
5274,03/01/2024,09/01/2024,Delayed,780268.04,Counterparty_29,Stock,EUR
5776,03/01/2024,10/01/2024,Delayed,375946.02,Counterparty_2,Bond,GBP
8112,03/01/2024,05/01/2024,Settled,305909.32,Counterparty_33,Bond,USD
610,03/01/2024,05/01/2024,Settled,690704.43,Counterparty_35,Stock,NGN
5118,03/01/2024,08/01/2024,Delayed,482535.32,Counterparty_31,FX,EUR
5843,03/01/2024,05/01/2024,Settled,94465.85,Counterparty_33,Bond,USD
2607,03/01/2024,05/01/2024,Settled,47805.06,Counterparty_19,Bond,GBP
8486,03/01/2024,05/01/2024,Settled,765997.56,Counterparty_40,Bond,GBP
9563,03/01/2024,05/01/2024,Settled,691010.34,Counterparty_47,FX,NGN
4769,03/01/2024,05/01/2024,Settled,706665.62,Counterparty_8,Derivative,GBP
8244,03/01/2024,05/01/2024,Settled,412335.92,Counterparty_26,FX,EUR
7102,03/01/2024,05/01/2024,Settled,202197.7,Counterparty_41,Stock,GBP
9530,03/01/2024,05/01/2024,Settled,949120.32,Counterparty_42,FX,GBP
231,04/01/2024,06/01/2024,Settled,795016.49,Counterparty_4,FX,NGN
5778,04/01/2024,06/01/2024,Settled,146950.47,Counterparty_42,Bond,GBP
5783,04/01/2024,06/01/2024,Settled,596447.55,Counterparty_46,Bond,GBP
7636,04/01/2024,06/01/2024,Settled,44803.01,Counterparty_8,FX,USD
5637,04/01/2024,06/01/2024,Settled,588210.65,Counterparty_38,Stock,NGN
3953,04/01/2024,06/01/2024,Settled,974715.91,Counterparty_48,Bond,USD
3249,04/01/2024,06/01/2024,Settled,870656.44,Counterparty_9,FX,NGN
6271,04/01/2024,06/01/2024,Settled,350656.86,Counterparty_16,Bond,GBP
1683,04/01/2024,06/01/2024,Settled,641331.11,Counterparty_37,Stock,USD
8581,04/01/2024,06/01/2024,Settled,270703.66,Counterparty_6,FX,USD
9931,04/01/2024,08/01/2024,Delayed,823403.13,Counterparty_7,Stock,GBP
4630,04/01/2024,06/01/2024,Settled,511059.84,Counterparty_4,Derivative,USD
8079,04/01/2024,06/01/2024,Settled,370368.07,Counterparty_43,Stock,USD
8078,04/01/2024,06/01/2024,Settled,585609.59,Counterparty_15,Bond,USD
6002,04/01/2024,06/01/2024,Settled,173213.98,Counterparty_46,Derivative,NGN
1674,04/01/2024,06/01/2024,Settled,806119.47,Counterparty_42,FX,USD
2682,04/01/2024,06/01/2024,Settled,835644.75,Counterparty_22,Bond,GBP
32,04/01/2024,06/01/2024,Settled,171353.6,Counterparty_10,Derivative,NGN
683,04/01/2024,07/01/2024,Delayed,171716.7,Counterparty_29,Bond,EUR
1615,04/01/2024,06/01/2024,Settled,333668.91,Counterparty_45,Derivative,GBP
7116,04/01/2024,06/01/2024,Settled,908175.6,Counterparty_32,FX,USD
3041,04/01/2024,06/01/2024,Settled,180185.32,Counterparty_39,Derivative,GBP
5402,04/01/2024,06/01/2024,Settled,966767.49,Counterparty_35,Derivative,EUR
3019,04/01/2024,06/01/2024,Settled,69284.85,Counterparty_16,FX,GBP
6617,04/01/2024,06/01/2024,Settled,200470.07,Counterparty_9,FX,EUR
5358,04/01/2024,06/01/2024,Settled,977479.11,Counterparty_37,Stock,GBP
7242,04/01/2024,11/01/2024,Delayed,905676.56,Counterparty_31,Stock,NGN
6266,05/01/2024,07/01/2024,Settled,501375.73,Counterparty_35,Bond,EUR
3500,05/01/2024,07/01/2024,Settled,737688.66,Counterparty_19,Stock,USD
5962,05/01/2024,07/01/2024,Settled,947205.78,Counterparty_50,FX,EUR
6085,05/01/2024,07/01/2024,Settled,244223.58,Counterparty_21,Derivative,NGN
9777,05/01/2024,11/01/2024,Delayed,537985.58,Counterparty_49,FX,GBP
7819,05/01/2024,07/01/2024,Settled,906038.02,Counterparty_22,FX,USD
6261,05/01/2024,07/01/2024,Settled,121361.34,Counterparty_48,Bond,NGN
3698,05/01/2024,09/01/2024,Delayed,668200.04,Counterparty_5,Stock,USD
4854,05/01/2024,11/01/2024,Delayed,343248.49,Counterparty_34,Derivative,EUR
4601,05/01/2024,07/01/2024,Settled,199432.98,Counterparty_3,Derivative,EUR
3724,05/01/2024,07/01/2024,Settled,186547.34,Counterparty_38,Bond,USD
4607,05/01/2024,07/01/2024,Settled,846278.09,Counterparty_1,FX,NGN
3697,05/01/2024,08/01/2024,Delayed,961530.83,Counterparty_18,Bond,EUR
1298,05/01/2024,07/01/2024,Settled,105463.27,Counterparty_28,FX,USD
391,05/01/2024,07/01/2024,Settled,990514.64,Counterparty_12,FX,USD
367,05/01/2024,07/01/2024,Settled,961229.37,Counterparty_36,FX,NGN
432,05/01/2024,07/01/2024,Settled,761749.12,Counterparty_46,Stock,NGN
9991,05/01/2024,07/01/2024,Settled,450932.83,Counterparty_38,FX,EUR
6813,05/01/2024,07/01/2024,Settled,13808.83,Counterparty_47,FX,GBP
2636,05/01/2024,07/01/2024,Settled,666719.03,Counterparty_10,FX,USD
3027,05/01/2024,07/01/2024,Settled,944504.13,Counterparty_26,FX,GBP
9266,05/01/2024,07/01/2024,Settled,45706.68,Counterparty_15,Derivative,GBP
5321,05/01/2024,07/01/2024,Settled,283267.72,Counterparty_28,FX,GBP
3091,05/01/2024,07/01/2024,Settled,450803.99,Counterparty_24,Bond,EUR
2402,05/01/2024,07/01/2024,Settled,72640.18,Counterparty_36,Derivative,NGN
4926,05/01/2024,07/01/2024,Settled,257805.63,Counterparty_3,FX,USD
6038,05/01/2024,07/01/2024,Settled,873804.36,Counterparty_21,Derivative,GBP
3961,05/01/2024,07/01/2024,Settled,574375.92,Counterparty_26,Stock,EUR
1265,05/01/2024,07/01/2024,Settled,12608.92,Counterparty_5,Stock,USD
6327,05/01/2024,07/01/2024,Settled,950793.97,Counterparty_28,Bond,USD
3937,05/01/2024,08/01/2024,Delayed,417776.23,Counterparty_35,Stock,NGN
6401,05/01/2024,07/01/2024,Settled,684524.87,Counterparty_3,FX,NGN
7561,05/01/2024,07/01/2024,Settled,735785.19,Counterparty_16,FX,GBP
7817,06/01/2024,08/01/2024,Settled,254240.26,Counterparty_28,Derivative,EUR
6674,06/01/2024,08/01/2024,Settled,64190.16,Counterparty_28,Derivative,GBP
7606,06/01/2024,08/01/2024,Settled,670583.72,Counterparty_15,FX,EUR
4279,06/01/2024,08/01/2024,Settled,127697.2,Counterparty_9,FX,USD
150,06/01/2024,08/01/2024,Settled,279367.82,Counterparty_28,FX,EUR
8768,06/01/2024,08/01/2024,Settled,128054.01,Counterparty_29,Bond,EUR
9961,06/01/2024,08/01/2024,Settled,588498.16,Counterparty_27,FX,EUR
7230,06/01/2024,10/01/2024,Delayed,423934.67,Counterparty_25,Stock,EUR
3856,06/01/2024,08/01/2024,Settled,77726.25,Counterparty_28,FX,GBP
7682,06/01/2024,08/01/2024,Settled,530345.75,Counterparty_15,Derivative,GBP
5438,06/01/2024,08/01/2024,Settled,841780.39,Counterparty_46,Derivative,NGN
9412,06/01/2024,08/01/2024,Settled,671303.73,Counterparty_39,Stock,USD
5009,06/01/2024,08/01/2024,Settled,182635.84,Counterparty_13,Bond,GBP
3345,06/01/2024,08/01/2024,Settled,474447.3,Counterparty_17,Stock,EUR
5870,06/01/2024,08/01/2024,Settled,588842.81,Counterparty_38,Derivative,GBP
5572,06/01/2024,08/01/2024,Settled,66211.48,Counterparty_7,Stock,NGN
6253,06/01/2024,08/01/2024,Settled,338139.57,Counterparty_17,Bond,USD
845,06/01/2024,08/01/2024,Settled,149514.07,Counterparty_50,Derivative,EUR
2692,06/01/2024,13/01/2024,Delayed,595536.54,Counterparty_32,FX,GBP
3852,07/01/2024,09/01/2024,Settled,117242.13,Counterparty_29,FX,NGN
4981,07/01/2024,09/01/2024,Settled,977306.54,Counterparty_40,FX,NGN
4463,07/01/2024,09/01/2024,Settled,996529.78,Counterparty_24,Stock,NGN
3898,07/01/2024,09/01/2024,Settled,833096.79,Counterparty_4,Derivative,USD
5239,07/01/2024,12/01/2024,Delayed,39362.48,Counterparty_1,Stock,NGN
8262,07/01/2024,09/01/2024,Settled,184274.43,Counterparty_34,Bond,GBP
8690,07/01/2024,09/01/2024,Settled,188870.51,Counterparty_35,Derivative,USD
797,07/01/2024,09/01/2024,Settled,932186.16,Counterparty_32,Derivative,USD
8551,07/01/2024,09/01/2024,Settled,914669.85,Counterparty_36,FX,NGN
4064,07/01/2024,09/01/2024,Settled,253773.31,Counterparty_29,Derivative,EUR
8857,07/01/2024,09/01/2024,Settled,215057.54,Counterparty_1,Derivative,EUR
9713,07/01/2024,09/01/2024,Settled,258497.46,Counterparty_31,Stock,GBP
4895,07/01/2024,09/01/2024,Settled,387420.43,Counterparty_10,Derivative,NGN
5193,07/01/2024,09/01/2024,Settled,765550.98,Counterparty_28,Derivative,EUR
921,07/01/2024,09/01/2024,Settled,868599.51,Counterparty_19,Stock,NGN
3781,07/01/2024,09/01/2024,Settled,400119.27,Counterparty_39,Stock,USD
7779,07/01/2024,09/01/2024,Settled,897401.2,Counterparty_49,Bond,EUR
7097,07/01/2024,09/01/2024,Settled,835736.13,Counterparty_6,FX,NGN
3045,07/01/2024,09/01/2024,Settled,738147.1,Counterparty_15,Derivative,GBP
6528,07/01/2024,13/01/2024,Delayed,835408.82,Counterparty_9,Derivative,USD
6355,07/01/2024,09/01/2024,Settled,920850.08,Counterparty_50,FX,NGN
7821,07/01/2024,09/01/2024,Settled,355069.57,Counterparty_9,Bond,EUR
3210,07/01/2024,09/01/2024,Settled,610936.21,Counterparty_49,Derivative,EUR
6039,07/01/2024,09/01/2024,Settled,127675,Counterparty_29,Derivative,NGN
4774,08/01/2024,10/01/2024,Settled,819050.4,Counterparty_3,Stock,NGN
1468,08/01/2024,10/01/2024,Settled,407501.05,Counterparty_13,Bond,EUR
2943,08/01/2024,10/01/2024,Settled,297263.35,Counterparty_35,FX,NGN
6331,08/01/2024,10/01/2024,Settled,38528.66,Counterparty_32,Stock,USD
7724,08/01/2024,10/01/2024,Settled,748490.57,Counterparty_15,Stock,EUR
3797,08/01/2024,14/01/2024,Delayed,532759.58,Counterparty_3,Derivative,EUR
291,08/01/2024,10/01/2024,Settled,31469.75,Counterparty_17,Bond,NGN
907,08/01/2024,10/01/2024,Settled,817626.12,Counterparty_15,Stock,EUR
5901,08/01/2024,10/01/2024,Settled,631912.83,Counterparty_39,Derivative,NGN
9736,08/01/2024,10/01/2024,Settled,605008.1,Counterparty_33,Bond,GBP
7377,08/01/2024,15/01/2024,Delayed,527783.58,Counterparty_22,FX,USD
1357,08/01/2024,10/01/2024,Settled,900801.16,Counterparty_27,FX,EUR
1114,08/01/2024,12/01/2024,Delayed,537437.45,Counterparty_35,Bond,USD
8794,08/01/2024,10/01/2024,Settled,716915.3,Counterparty_32,Derivative,NGN
6966,08/01/2024,10/01/2024,Settled,127337.78,Counterparty_3,Bond,EUR
8020,08/01/2024,10/01/2024,Settled,894197.28,Counterparty_47,Bond,GBP
8233,08/01/2024,10/01/2024,Settled,797150.56,Counterparty_29,Bond,USD
6773,08/01/2024,10/01/2024,Settled,636469.53,Counterparty_46,Derivative,NGN
1192,08/01/2024,10/01/2024,Settled,582588.29,Counterparty_28,Bond,GBP
2660,08/01/2024,10/01/2024,Settled,657696.13,Counterparty_6,Bond,USD
9372,08/01/2024,10/01/2024,Settled,192581.68,Counterparty_50,FX,EUR
6394,08/01/2024,10/01/2024,Settled,693707.45,Counterparty_44,FX,GBP
2837,09/01/2024,11/01/2024,Settled,993261.76,Counterparty_43,Bond,NGN
860,09/01/2024,11/01/2024,Settled,66642.93,Counterparty_40,Derivative,EUR
2054,09/01/2024,11/01/2024,Settled,945752.45,Counterparty_46,FX,GBP
2020,09/01/2024,11/01/2024,Settled,664125.9,Counterparty_14,FX,EUR
5397,09/01/2024,13/01/2024,Delayed,93357.07,Counterparty_11,Bond,USD
8075,09/01/2024,11/01/2024,Settled,833438.01,Counterparty_13,FX,EUR
2472,09/01/2024,11/01/2024,Settled,964064.82,Counterparty_36,Stock,NGN
9679,09/01/2024,11/01/2024,Settled,507886.7,Counterparty_28,Derivative,NGN
5722,09/01/2024,11/01/2024,Settled,423520.6,Counterparty_10,Stock,GBP
6613,09/01/2024,11/01/2024,Settled,248564.63,Counterparty_12,Derivative,EUR
8719,09/01/2024,11/01/2024,Settled,883466.35,Counterparty_6,Bond,GBP
3794,09/01/2024,11/01/2024,Settled,739127.81,Counterparty_34,Derivative,EUR
8272,09/01/2024,11/01/2024,Settled,108854.49,Counterparty_38,Bond,NGN
3119,09/01/2024,11/01/2024,Settled,249127.88,Counterparty_11,FX,EUR
9739,09/01/2024,11/01/2024,Settled,312465.87,Counterparty_49,Derivative,NGN
8644,09/01/2024,11/01/2024,Settled,265769.88,Counterparty_50,Stock,EUR
7609,09/01/2024,11/01/2024,Settled,337113.9,Counterparty_2,Bond,NGN
2980,09/01/2024,11/01/2024,Settled,970286.85,Counterparty_28,Bond,GBP
3046,09/01/2024,11/01/2024,Settled,704849.87,Counterparty_9,FX,NGN
7989,09/01/2024,11/01/2024,Settled,792397.75,Counterparty_21,FX,USD
3653,09/01/2024,11/01/2024,Settled,827725.5,Counterparty_18,Bond,NGN
1473,09/01/2024,11/01/2024,Settled,878637.05,Counterparty_49,Derivative,EUR
3051,09/01/2024,11/01/2024,Settled,206127.61,Counterparty_32,Bond,USD
3040,09/01/2024,11/01/2024,Settled,519182.29,Counterparty_45,Bond,USD
5690,10/01/2024,12/01/2024,Settled,646281.97,Counterparty_38,Derivative,NGN
4778,10/01/2024,17/01/2024,Delayed,308511.33,Counterparty_44,Derivative,USD
8945,10/01/2024,12/01/2024,Settled,304149.76,Counterparty_4,Bond,GBP
5542,10/01/2024,12/01/2024,Settled,649906.45,Counterparty_23,Stock,USD
4812,10/01/2024,12/01/2024,Settled,854088.94,Counterparty_48,FX,USD
1700,10/01/2024,12/01/2024,Settled,549980.01,Counterparty_18,FX,USD
6316,10/01/2024,12/01/2024,Settled,933479.71,Counterparty_45,Bond,GBP
9709,10/01/2024,12/01/2024,Settled,353080.3,Counterparty_17,Bond,GBP
6476,10/01/2024,12/01/2024,Settled,924733.95,Counterparty_42,Derivative,NGN
7277,10/01/2024,12/01/2024,Settled,302154.73,Counterparty_32,Bond,EUR
5042,10/01/2024,12/01/2024,Settled,592125.25,Counterparty_17,Stock,EUR
8012,10/01/2024,12/01/2024,Settled,448722.68,Counterparty_13,FX,NGN
6851,10/01/2024,12/01/2024,Settled,227531.86,Counterparty_25,Stock,GBP
6822,10/01/2024,12/01/2024,Settled,520803.3,Counterparty_40,Bond,EUR
6796,10/01/2024,16/01/2024,Delayed,286294.04,Counterparty_18,Derivative,NGN
1884,10/01/2024,12/01/2024,Settled,761360.42,Counterparty_10,Stock,USD
9866,10/01/2024,12/01/2024,Settled,6020.48,Counterparty_42,Bond,GBP
184,10/01/2024,12/01/2024,Settled,877462.01,Counterparty_15,Derivative,EUR
9801,10/01/2024,12/01/2024,Settled,785098.1,Counterparty_44,Derivative,EUR
7907,10/01/2024,12/01/2024,Settled,131221.33,Counterparty_50,Stock,GBP
8750,10/01/2024,15/01/2024,Delayed,101927.22,Counterparty_15,Bond,NGN
4131,10/01/2024,12/01/2024,Settled,272682.6,Counterparty_39,Bond,GBP
9111,10/01/2024,12/01/2024,Settled,943355.1,Counterparty_17,Bond,USD
734,10/01/2024,12/01/2024,Settled,523542.36,Counterparty_3,Derivative,GBP
2506,10/01/2024,12/01/2024,Settled,110154.95,Counterparty_49,Stock,USD
1996,10/01/2024,12/01/2024,Settled,657298.2,Counterparty_21,Stock,USD
9027,11/01/2024,13/01/2024,Settled,564736.76,Counterparty_26,Bond,GBP
4510,11/01/2024,14/01/2024,Delayed,941532.76,Counterparty_13,Stock,NGN
4197,11/01/2024,16/01/2024,Delayed,26663.96,Counterparty_1,Derivative,EUR
6436,11/01/2024,13/01/2024,Settled,562582.61,Counterparty_17,Bond,GBP
9244,11/01/2024,13/01/2024,Settled,704231.97,Counterparty_24,Stock,EUR
9347,11/01/2024,13/01/2024,Settled,752650.05,Counterparty_4,Stock,EUR
4311,11/01/2024,13/01/2024,Settled,277792.18,Counterparty_13,Stock,NGN
9038,11/01/2024,13/01/2024,Settled,846273.07,Counterparty_25,Derivative,NGN
679,11/01/2024,13/01/2024,Settled,969500.96,Counterparty_27,Bond,NGN
1041,11/01/2024,13/01/2024,Settled,539951.8,Counterparty_45,Derivative,USD
9181,11/01/2024,18/01/2024,Delayed,429893.44,Counterparty_45,Derivative,NGN
746,11/01/2024,13/01/2024,Settled,899675,Counterparty_18,FX,EUR
9589,11/01/2024,14/01/2024,Delayed,356266.38,Counterparty_9,FX,GBP
4837,11/01/2024,13/01/2024,Settled,377985.81,Counterparty_1,Stock,USD
9819,11/01/2024,13/01/2024,Settled,365045.46,Counterparty_27,Derivative,NGN
1441,11/01/2024,13/01/2024,Settled,969942.13,Counterparty_46,Bond,EUR
225,11/01/2024,14/01/2024,Delayed,265937.17,Counterparty_8,FX,GBP
6119,11/01/2024,13/01/2024,Settled,265782.24,Counterparty_2,Stock,EUR
4599,11/01/2024,13/01/2024,Settled,405920.04,Counterparty_13,Derivative,USD
8403,11/01/2024,13/01/2024,Settled,583749.58,Counterparty_8,Stock,GBP
2046,11/01/2024,13/01/2024,Settled,723091.49,Counterparty_4,Stock,NGN
1714,11/01/2024,13/01/2024,Settled,460340.62,Counterparty_20,Bond,USD
9767,11/01/2024,13/01/2024,Settled,634421,Counterparty_48,Stock,USD
2773,12/01/2024,14/01/2024,Settled,807158.53,Counterparty_20,Derivative,NGN
6320,12/01/2024,14/01/2024,Settled,30270.14,Counterparty_38,Stock,EUR
1294,12/01/2024,14/01/2024,Settled,689775.5,Counterparty_22,Derivative,USD
2817,12/01/2024,18/01/2024,Delayed,499396.77,Counterparty_14,FX,NGN
7357,12/01/2024,14/01/2024,Settled,984944.18,Counterparty_24,Stock,NGN
9042,12/01/2024,14/01/2024,Settled,316976.06,Counterparty_24,Bond,USD
6780,12/01/2024,14/01/2024,Settled,55690.24,Counterparty_7,Bond,EUR
6622,12/01/2024,14/01/2024,Settled,406960.04,Counterparty_48,Derivative,EUR
9759,12/01/2024,14/01/2024,Settled,198206.33,Counterparty_32,Derivative,GBP
4209,12/01/2024,14/01/2024,Settled,86946.12,Counterparty_42,FX,NGN
2383,12/01/2024,17/01/2024,Delayed,916718.6,Counterparty_16,Derivative,USD
3393,12/01/2024,14/01/2024,Settled,888230.07,Counterparty_41,FX,USD
6177,12/01/2024,14/01/2024,Settled,562032.91,Counterparty_15,Bond,USD
4079,12/01/2024,14/01/2024,Settled,768812.75,Counterparty_2,Bond,EUR
9348,12/01/2024,14/01/2024,Settled,864039.41,Counterparty_20,FX,GBP
8407,12/01/2024,14/01/2024,Settled,4715.94,Counterparty_9,FX,GBP
5668,12/01/2024,14/01/2024,Settled,834623.79,Counterparty_14,Derivative,EUR
6842,12/01/2024,14/01/2024,Settled,167783.23,Counterparty_30,Stock,EUR
8392,12/01/2024,14/01/2024,Settled,90542.14,Counterparty_15,Derivative,EUR
4817,12/01/2024,14/01/2024,Settled,909292.93,Counterparty_47,FX,NGN
8527,12/01/2024,15/01/2024,Delayed,444668.89,Counterparty_22,Derivative,NGN
8479,13/01/2024,15/01/2024,Settled,654002.82,Counterparty_16,Stock,GBP
3366,13/01/2024,17/01/2024,Delayed,636737.91,Counterparty_37,Bond,GBP
5376,13/01/2024,15/01/2024,Settled,794220.44,Counterparty_19,FX,USD
5196,13/01/2024,19/01/2024,Delayed,798200.04,Counterparty_15,Derivative,USD
591,13/01/2024,15/01/2024,Settled,139688.35,Counterparty_33,FX,NGN
5340,13/01/2024,19/01/2024,Delayed,7177.64,Counterparty_29,FX,NGN
6751,13/01/2024,15/01/2024,Settled,288115.13,Counterparty_43,FX,GBP
7834,13/01/2024,15/01/2024,Settled,876683.93,Counterparty_41,Stock,EUR
7216,13/01/2024,15/01/2024,Settled,612044.02,Counterparty_14,Bond,GBP
8281,13/01/2024,17/01/2024,Delayed,336221.64,Counterparty_5,Bond,EUR
7042,13/01/2024,15/01/2024,Settled,395412.48,Counterparty_13,Derivative,USD
1374,13/01/2024,20/01/2024,Delayed,492785.58,Counterparty_24,Derivative,GBP
8510,13/01/2024,19/01/2024,Delayed,288646.16,Counterparty_17,FX,EUR
484,13/01/2024,15/01/2024,Settled,627930.52,Counterparty_29,FX,EUR
464,13/01/2024,15/01/2024,Settled,583785.4,Counterparty_49,Derivative,GBP
3955,13/01/2024,15/01/2024,Settled,232243.74,Counterparty_35,Stock,GBP
7977,13/01/2024,15/01/2024,Settled,921804.94,Counterparty_27,Bond,USD
3,13/01/2024,15/01/2024,Settled,732261.95,Counterparty_40,Derivative,USD
7322,13/01/2024,15/01/2024,Settled,532554.74,Counterparty_49,FX,GBP
768,14/01/2024,16/01/2024,Settled,876888.87,Counterparty_50,FX,USD
3290,14/01/2024,16/01/2024,Settled,204269.27,Counterparty_48,Bond,GBP
9541,14/01/2024,16/01/2024,Settled,187546.26,Counterparty_48,FX,NGN
6932,14/01/2024,16/01/2024,Settled,94426.6,Counterparty_6,Bond,USD
708,14/01/2024,16/01/2024,Settled,810064.57,Counterparty_7,Stock,NGN
6944,14/01/2024,16/01/2024,Settled,47917.46,Counterparty_15,FX,USD
9742,14/01/2024,16/01/2024,Settled,33943.97,Counterparty_16,Stock,GBP
3201,14/01/2024,17/01/2024,Delayed,553817.82,Counterparty_49,Derivative,GBP
2187,14/01/2024,16/01/2024,Settled,871333.28,Counterparty_15,Bond,GBP
6193,14/01/2024,16/01/2024,Settled,782962.93,Counterparty_28,Stock,USD
713,14/01/2024,16/01/2024,Settled,472104.61,Counterparty_13,Bond,USD
1466,14/01/2024,16/01/2024,Settled,49163.83,Counterparty_50,FX,GBP
21,14/01/2024,16/01/2024,Settled,612241.04,Counterparty_17,FX,USD
3759,14/01/2024,16/01/2024,Settled,430527.66,Counterparty_23,Stock,GBP
1035,14/01/2024,16/01/2024,Settled,77876.25,Counterparty_4,Derivative,USD
2236,14/01/2024,17/01/2024,Delayed,593628.35,Counterparty_23,Derivative,USD
1966,14/01/2024,16/01/2024,Settled,588181.59,Counterparty_22,Derivative,USD
8918,14/01/2024,16/01/2024,Settled,829352.6,Counterparty_8,Bond,GBP
4368,14/01/2024,16/01/2024,Settled,442391.87,Counterparty_1,Stock,GBP
4145,14/01/2024,16/01/2024,Settled,918479.14,Counterparty_16,FX,USD
7710,14/01/2024,16/01/2024,Settled,840944.29,Counterparty_32,Stock,NGN
4665,14/01/2024,16/01/2024,Settled,829733.15,Counterparty_11,Bond,NGN
8606,14/01/2024,16/01/2024,Settled,408612.07,Counterparty_34,Bond,EUR
2482,14/01/2024,16/01/2024,Settled,877213.49,Counterparty_30,Bond,EUR
1603,14/01/2024,16/01/2024,Settled,227429.75,Counterparty_7,Bond,EUR
9002,14/01/2024,16/01/2024,Settled,525835.12,Counterparty_25,Bond,GBP
4968,15/01/2024,17/01/2024,Settled,715409.89,Counterparty_19,Derivative,EUR
9399,15/01/2024,17/01/2024,Settled,488846.58,Counterparty_16,Derivative,EUR
1608,15/01/2024,19/01/2024,Delayed,800556.15,Counterparty_3,FX,GBP
5946,15/01/2024,22/01/2024,Delayed,342228.82,Counterparty_48,Derivative,USD
